"",Matrix::rowSums(assay(gast_cds))
LOC109621096,0
LOC105347443,91
LOC105347434,5602
LOC105347816,604
LOC105338192,57
LOC105338190,78
LOC105347406,5200
LOC105347395,56
LOC117690969,0
LOC105347385,2
LOC105346348,2
LOC117690970,1
LOC117690971,4
LOC105346445,1
LOC105346343,4582
LOC105346313,1871
LOC117690972,354
LOC105346280,4010
LOC105346270,12475
LOC105346262,11955
LOC105346246,271
LOC105346233,17
LOC117690973,22
LOC105333665,998
LOC105333664,29
LOC105348042,0
LOC105348041,14
LOC117690974,804
LOC105348033,852
LOC105348032,709
LOC117690975,0
LOC117680337,10
LOC117690976,0
LOC105348030,11
LOC105348029,0
LOC105346557,0
LOC117690977,8
LOC117690978,78
LOC105334053,1
LOC117690979,0
LOC105334054,182
LOC105334055,476
LOC105334056,71
LOC105334057,2
LOC105334058,21
LOC117680451,2523
LOC105334061,194
LOC117690980,111
LOC117690981,0
LOC109621180,0
LOC117690982,2
LOC117690983,0
LOC117690984,0
LOC117690985,207
LOC117690986,880
LOC117690987,4
LOC117690988,4
LOC105334059,4309
LOC117690989,153
LOC105334062,2775
LOC105334063,3985
LOC105334066,3667
LOC105334064,2644
LOC117690990,51
LOC105317280,2576
LOC117690991,0
LOC105347837,70422
LOC105347836,2402
LOC105319325,2037
LOC105342845,149
LOC105336833,6
LOC117690992,128
LOC105327902,37
LOC117691247,41
LOC117690961,0
LOC105336706,12
LOC105336697,884
LOC105348694,215
LOC105348692,9302
LOC105348693,32
LOC109617162,17
LOC105332671,9
LOC117691248,19
LOC105345383,1
LOC105332839,36
LOC117691249,1399
LOC117691251,4
LOC117691250,402
LOC105324157,7241
LOC117691254,635
LOC117691252,14863
LOC117691253,793
LOC105338409,314
LOC105317580,235
LOC105317579,14
LOC105317578,191
LOC105317577,7533
LOC105317576,2432
LOC117691255,1
LOC105317575,11
LOC109617292,0
LOC117691256,5
LOC105317574,0
LOC117691257,4
LOC117691258,19
LOC105317573,7311
LOC105346653,467
LOC105346662,151
LOC105346644,84
LOC105346611,1611
LOC105319642,1428
LOC105342623,13
LOC105342846,25
LOC117691259,8168
LOC105343056,699069
LOC105343055,271
LOC105343053,2312
LOC105343052,13308
LOC105332964,25227
LOC105343051,132
LOC109620557,289
LOC109620556,0
LOC117691260,0
LOC117691261,2
LOC105343050,2219
LOC117691262,7
LOC117691263,354
LOC109620553,3
LOC117691264,7
LOC105343048,1246
LOC105343047,2205
LOC105317959,29273
LOC105324314,6825
LOC105324313,3074
LOC117691265,28569
LOC105343043,12057
LOC105343042,2651
LOC117691037,1
LOC117691341,0
LOC117691905,3
LOC105324669,74
LOC117692146,0
LOC105324628,1093
LOC117692147,873
LOC105323554,0
LOC117692148,0
LOC117692149,265
LOC105324041,22
LOC105343959,0
LOC117692150,0
LOC117692151,0
LOC117692152,0
LOC117692153,1
LOC105320824,34
LOC117692154,0
LOC117692155,0
LOC117691906,0
LOC117692156,0
LOC105330534,0
LOC105337810,0
LOC117692157,1
LOC117692158,0
LOC105337808,0
LOC105334222,0
LOC117692159,0
LOC105334202,0
LOC109619517,1
LOC117692160,0
LOC117692161,0
LOC117692162,4
LOC105334223,3
LOC105334224,0
LOC117692163,0
LOC105334207,0
LOC117692164,17
LOC117692166,31
LOC117692165,558
LOC105334212,5361
LOC117692168,20
LOC105334210,5
LOC117692169,0
LOC105334214,213
LOC117691907,6683
LOC105334225,3379
LOC117692170,879
LOC105335246,3353
LOC117691908,0
LOC109618440,0
LOC117680377,152
LOC105343038,143
LOC109619794,3
LOC105328210,671
LOC105328209,650
LOC105328208,1269
LOC117692171,24
LOC105328206,4189
LOC117692172,0
LOC105328205,0
LOC105328204,2
LOC105347571,0
LOC105347569,0
LOC117692173,0
LOC117691909,0
LOC117680411,89
LOC109620722,119
LOC105347570,0
LOC117690659,0
LOC117690660,3
LOC105319007,2
LOC105319016,0
LOC105319008,0
LOC105319018,6
LOC105319009,13
LOC105319011,4299
LOC117691837,217
LOC105319013,35
LOC117691838,279
LOC105319014,2
LOC117691839,3
LOC109618732,0
LOC105319015,21
LOC105328052,32
LOC109617982,29
LOC117691910,21
LOC117691840,524
LOC117680425,54
LOC105328050,169
LOC105328051,44
LOC105328049,5
LOC105328056,8
LOC105326635,26
LOC105328057,2
LOC105328059,1020
LOC105328058,100
LOC105328060,130
LOC105328062,436
LOC105328063,482
LOC105328064,4
LOC105326400,29589
LOC109618519,9
LOC105326401,62
LOC105343024,0
LOC105343025,0
LOC117691841,0
LOC105343026,2
LOC105343027,0
LOC105343028,59
LOC109620554,0
LOC105343033,0
LOC105343032,7
LOC105343031,0
LOC105343034,4
LOC105331883,6
LOC105331882,17
LOC117691911,0
LOC117691912,0
LOC117691842,0
LOC117691843,1
LOC105345630,36
LOC117691845,1979
LOC117691844,173
LOC105341871,29
LOC105337832,1
LOC105337833,5
LOC105337834,241
LOC105337835,0
LOC105348823,10675
LOC117691846,0
LOC117691847,7
LOC105335529,1537
LOC105346546,9228
LOC105346560,23445
LOC105346578,3304
LOC117691650,0
LOC117691913,8
LOC105345398,8440
LOC105348363,41
LOC117691651,389
LOC117690824,0
LOC105347673,0
LOC105347670,146
LOC117692176,2
LOC105347668,32501
LOC105347672,100039
LOC105347671,6911
LOC105347667,30442
LOC117692177,3457
LOC105347666,36877
LOC105347665,9302
LOC105347664,9552
LOC105347663,56
LOC105330769,11211
LOC105330771,1527
LOC105330782,10501
LOC105330773,1086
LOC105330774,573
LOC105330777,1229
LOC117691589,1
LOC117691360,0
LOC105345560,25
LOC105345550,537
LOC105345295,3
LOC105345296,29
LOC105345297,49088
LOC117680608,0
LOC105345298,2849
LOC105345299,2305
LOC105345300,4245
LOC105349106,27
LOC105349105,8
LOC105349111,1207
LOC105349102,18
LOC105349101,334
LOC105349110,1
LOC105349109,3
LOC105318753,0
LOC117690817,4
LOC117691060,21
LOC117690899,0
LOC105331972,146
LOC105318751,0
LOC117690745,10
LOC105319785,4
LOC117691048,0
LOC117691914,2
LOC117691915,0
LOC117691916,0
LOC117691049,0
LOC105318754,4185
LOC105318755,29511
LOC105318756,3574
LOC105318758,83216
LOC109617426,6
LOC117691050,888
LOC105320714,16829
LOC105320715,7224
LOC105320716,4717
LOC105320717,315
LOC105320719,153
LOC105335271,141
LOC105320721,3096
LOC105320722,3134
LOC105320723,1440
LOC105320725,200
LOC105323161,4378
LOC109619867,10
LOC105323164,4
LOC105343789,2
LOC105334145,23
LOC105340506,42
LOC105340483,125898
LOC105340480,2605
LOC117692231,350
LOC117692230,3722
LOC105340477,242
LOC105340479,23433
LOC105340476,237
LOC105340505,535
LOC105340504,12
LOC105340473,2666
LOC117692241,476
LOC117692245,0
LOC117692236,1
LOC105331171,29
LOC117692235,0
LOC117692232,1
LOC117692233,0
LOC117692246,0
LOC105333307,88
LOC117691917,26
LOC117692234,1
LOC117692239,57
LOC105344874,52
LOC117692247,9
LOC117692237,1
LOC105324719,9
LOC117692242,76
LOC117692243,1
LOC105324725,0
LOC105324726,4
LOC105336078,9833
LOC117692244,0
LOC117680362,0
LOC117692240,4
LOC105321814,0
LOC117692238,1248
LOC117691919,2
LOC117692248,19
LOC105324723,0
LOC117692249,11
LOC105324720,903
LOC105324722,21
LOC117692250,2
LOC117692251,0
LOC117692201,0
LOC117691920,60
LOC117692202,85
LOC105324717,0
LOC117692203,1
LOC105324733,0
LOC105324718,614
LOC105324716,18026
LOC105342219,182
LOC105342217,10
LOC117692204,0
LOC117692205,6
LOC105324712,131
LOC105324711,130
LOC117692206,5
LOC105324710,2480
LOC105323428,3
LOC117692207,2
LOC105324709,4156
LOC105324708,506
LOC105324706,1857
LOC105324702,4825
LOC105324701,390
LOC105324699,3000
LOC105324698,220
LOC105324696,211
LOC105324695,56
LOC105324694,5314
LOC105324693,216
LOC117692208,1
LOC105324692,2008
LOC105324691,3
LOC105325674,10222
LOC105325676,9
LOC117692209,308
LOC105325678,60
LOC105325677,25
LOC117680409,451
LOC105338407,611
LOC117692210,0
LOC105333401,1347
LOC105333403,19
LOC105333404,209
LOC105333405,40
LOC117692119,0
LOC105333408,0
LOC117692120,1
LOC117691921,0
LOC117691922,0
LOC117692116,0
LOC105322266,71
LOC117692122,0
LOC105333406,0
LOC117692121,718
LOC117692117,0
LOC105341079,0
LOC117690760,0
LOC117690761,7
LOC117690680,2
LOC105337770,2
LOC117691923,0
LOC117690797,0
LOC117690799,0
LOC117690916,7
LOC105330183,247
LOC109618981,0
LOC105344004,573
LOC105343988,162
LOC105343987,81
LOC117692076,20
LOC105343985,716
LOC105344003,769
LOC117692077,0
LOC117692078,4
LOC105343984,2170
Trnas-uga_1,0
Trnas-uga_2,0
Trnas-uga_3,0
LOC117692079,12
LOC117690632,0
LOC117691066,1
LOC117691154,0
LOC117690933,0
LOC117690923,0
LOC117691271,3
LOC117691003,0
LOC117691028,0
LOC117691036,1
LOC105325521,1
LOC117690759,5
LOC117690780,47
LOC105330737,0
LOC109619060,14
LOC117691787,0
LOC105318560,17935
LOC105335934,36
LOC117692141,3
LOC117692142,0
LOC105335919,4
LOC117692143,0
LOC105324149,35
LOC117692145,4
LOC117692144,0
LOC109620977,0
LOC117690667,0
LOC117690668,0
LOC117690669,0
LOC117691924,0
LOC117690672,0
LOC117690670,0
LOC105346141,0
LOC105346142,0
LOC117690671,0
LOC105346143,0
LOC117690673,4
LOC105330646,0
LOC105330645,1
LOC109619043,0
LOC117690692,1
LOC117690693,1
LOC117690694,0
LOC105330647,0
LOC105330648,1
LOC105330650,26
LOC105330649,239
LOC105330652,4296
LOC105330653,7728
LOC105330659,6607
LOC105330660,21
LOC105324310,17088
LOC105324311,1113
LOC117691006,12
LOC117691005,7021
LOC117691007,1
LOC117691008,974
LOC117691009,106
LOC105339540,612
LOC105332500,22801
LOC105332496,4333
LOC105332495,86349
LOC117692340,0
LOC117692341,44
LOC117691010,57
LOC105332493,11
LOC117691011,8
LOC117691012,2
LOC109620108,2167
LOC117691013,1272
LOC117691014,7
LOC117691015,0
LOC117691016,47
LOC105318542,14
LOC105321995,102
LOC105321996,9
LOC105321997,50
LOC105321998,530
LOC105321999,4825
LOC105322000,25108
LOC117691155,74
LOC105322002,323
LOC105322013,1
LOC105322014,10
Trnat-ggu_8,0
LOC105322015,218
LOC105334380,1
LOC117692123,27
LOC117692125,1
LOC117692124,1
LOC105334379,1
LOC117692126,332
LOC117692128,2
LOC105325756,80
LOC109617524,4
LOC105319439,4
LOC105319438,15
LOC105319115,359
LOC117692129,3
LOC117692130,2
LOC105323433,0
LOC105341179,11
LOC109620643,12
LOC117692131,3
LOC117692132,0
LOC105343677,1
LOC105323469,21
LOC105341182,22
LOC117692133,4
LOC105319116,1
LOC117691056,0
LOC109617064,1
LOC117691926,0
LOC109621202,0
LOC117691927,0
LOC105348526,6
LOC109621206,0
LOC117690640,0
LOC105348175,0
LOC117690641,1
LOC117690639,0
LOC105348173,0
LOC109621205,12
LOC117691269,2
LOC105348172,271
LOC117692103,5
LOC117692099,5
LOC117692101,0
LOC109621204,21
LOC117692100,67
LOC117692102,0
LOC105348171,16
LOC105343077,26
LOC117690633,0
LOC105342934,1
LOC117690634,0
LOC109620533,11
LOC117690635,0
LOC105342929,1
LOC117691928,1
LOC105343070,1
LOC105326618,8
LOC105326617,1
LOC117691475,0
LOC117691710,1
LOC109618548,0
LOC117691596,4
LOC105341154,12
LOC105341173,79
LOC117691061,2
LOC117692268,1
LOC117692269,2
LOC117692270,95
LOC117692271,0
LOC117692272,0
LOC105334382,28086
LOC117680479,4
LOC117691930,1
LOC105334383,5994
LOC117692277,242
Trnai-aau,0
LOC105334388,9617
LOC105334406,9233
LOC117692279,28
LOC117692276,0
LOC117692275,12
LOC117692282,0
LOC117692280,1
LOC117692281,9
LOC109620912,5
LOC109620913,12
LOC117692284,1
LOC117692283,12
LOC117692286,1
LOC117692285,0
LOC117692278,0
LOC117692273,636
LOC105334397,82
Trnai-aau_1,0
LOC117692274,1000
LOC117692287,1
LOC105345659,157
LOC117692290,7
LOC117692291,0
LOC117692292,0
LOC117692293,7
LOC117690819,337
LOC117691207,0
LOC117692081,1
LOC105345660,0
LOC109620911,5
LOC117692082,30
LOC117692083,11
LOC105335501,1
LOC117692084,0
LOC105343083,198
LOC117691931,4
LOC105345662,0
LOC117691932,0
LOC117691933,0
LOC117692085,0
LOC105345664,0
LOC105345715,0
LOC117692086,4
LOC105346338,59
LOC117692087,3
LOC117692088,1
LOC117692089,0
LOC117692090,0
LOC117691019,0
LOC105348531,0
LOC105348474,777
LOC105348475,549
LOC105348476,0
LOC105329270,0
LOC117690913,0
LOC117690795,687
LOC117690930,3
LOC105319878,6
LOC109618699,27
LOC117691641,86
LOC117680301,1
LOC117691642,1
LOC109617290,0
LOC109617289,0
LOC117691934,46
LOC117691643,19
LOC109619458,3
LOC105333755,7755
LOC105333754,188
LOC105333753,26
LOC117691935,0
LOC105333752,3
LOC105326407,446
LOC117691644,0
LOC105333825,0
LOC117691645,6
LOC117691646,0
LOC105343022,62
LOC105339050,0
LOC105348802,0
LOC117691648,0
LOC117691649,0
LOC117691647,0
LOC105318015,0
LOC117691850,3
LOC105329623,11
LOC117691682,0
LOC117691684,1
LOC105334390,3
LOC117691683,3
LOC109618915,0
LOC117691685,2
LOC117691686,0
LOC105340441,12
LOC117691687,2
LOC117691693,0
LOC105340443,1
LOC117680590,1
LOC117691691,1
LOC117691936,0
LOC117691692,3
LOC117691694,0
LOC105340444,1
LOC105340297,1
LOC117691689,0
LOC117691688,7
LOC117691937,8
LOC117691690,0
LOC105339687,55
LOC117691695,5
LOC117691696,0
LOC117691698,0
LOC117691697,1
LOC117691699,2
LOC117691702,0
LOC117691703,0
LOC117691700,0
LOC117691701,0
LOC117690762,1
LOC117691267,0
LOC117691315,0
LOC109617951,0
LOC105340446,0
LOC105340447,0
LOC117690825,0
LOC117690887,0
LOC117690821,0
LOC105323724,5
LOC117691656,0
LOC105335473,469
LOC117691657,3
LOC105331197,813
LOC105333905,3
LOC109619546,4
LOC105334611,4
LOC105337469,62
LOC105347793,78
LOC105323995,27646
LOC117691000,38
LOC109619063,214
LOC105344650,9761
LOC105344625,15531
LOC117691381,2
LOC105344602,56
LOC105344573,28394
LOC105344562,6342
LOC105344636,13493
LOC105344547,125
LOC105328262,244
LOC117691385,32
LOC105328260,389
LOC117691382,7
LOC105336756,0
LOC117691384,0
LOC117691383,0
LOC117691474,0
LOC117691325,0
Trnat-ggu_9,0
Trnat-ggu_10,0
LOC117691569,0
LOC117690905,0
LOC117690837,7
LOC117691024,0
LOC117691570,0
LOC117690798,1
LOC117691708,4
LOC117690674,0
LOC117690675,3
LOC117690676,24
LOC117690677,0
LOC117690678,0
LOC117690842,2
LOC117691506,0
LOC117690889,0
LOC117690956,0
LOC117690696,2
LOC117690695,3
LOC117691053,0
LOC117691938,0
LOC117691709,0
LOC117692098,0
LOC105346981,0
LOC117690638,38
LOC105337653,632
LOC109620086,3
LOC117691939,0
LOC117691713,0
LOC117691711,28
LOC105348124,326
LOC105348125,2
LOC105348126,0
LOC117691719,0
LOC117691718,0
LOC105332006,93
LOC117691715,3
LOC117691940,385
LOC105323162,7
LOC117691714,133
LOC117691712,1
LOC117691717,0
LOC117690779,1
LOC117692320,21
LOC117692321,219
LOC117692322,13
LOC105348139,74
LOC117692323,3
LOC105348129,0
LOC105348128,0
LOC105348131,1
LOC117690942,8
LOC117691030,2
LOC117690906,16
LOC117691590,2
LOC117691039,0
LOC117691040,0
LOC117691041,0
LOC105348133,0
LOC117691042,1080
LOC117691043,0
LOC105337685,0
LOC117691941,14
LOC117691942,1
LOC117691044,4
LOC117691046,0
LOC117691045,1
LOC105348135,162
LOC105348136,3998
LOC105348141,36320
LOC105325920,94
LOC105323923,1
LOC117691047,0
LOC105337060,41861
LOC105337059,8758
LOC105337058,26
LOC105337062,3079
LOC105337061,116
LOC117690679,514
LOC105337064,1950
LOC105337065,37265
LOC105337067,6
LOC109619851,12
LOC105341065,1408
LOC117691797,2
LOC109618007,7
LOC117691798,12
LOC105337078,25
LOC105337071,340
LOC105337070,718
LOC117691822,0
LOC117691803,13
LOC117691943,0
LOC105318844,380
LOC105318843,25
LOC105318842,565
LOC105318840,585
LOC117691799,563
LOC117691809,205
LOC117691817,281
LOC105318848,2
LOC117691810,3001
LOC117691814,108
LOC117691944,0
LOC117691820,0
LOC105330086,2
LOC117691802,1
LOC105330085,112
LOC105330083,7
LOC117691826,0
LOC117691827,0
LOC105337069,53
LOC117691807,38
LOC105318845,62
LOC117691818,3
LOC117691808,1
LOC117691819,12
LOC105336978,0
LOC117691816,0
LOC117691945,0
LOC117691813,63
LOC117691946,2
LOC117691805,0
LOC117691824,0
LOC117691804,0
LOC117691828,13
LOC117691829,0
LOC117691830,1
LOC117691811,928
LOC117691806,23
LOC117691812,162
LOC117691821,198
LOC105318839,278
LOC105318838,186
LOC105318837,398
LOC117691801,2
LOC105318836,87
LOC105318835,58
LOC117691825,0
LOC105341137,0
LOC117691815,1
LOC117691823,1
LOC117691800,11
LOC117691831,2
LOC105340102,0
LOC105324439,28
LOC117691832,0
LOC117690938,0
LOC117690828,3
LOC117691359,2
LOC117691522,1
LOC117691523,12
LOC105346265,93
LOC109620998,14
LOC105346267,14923
LOC105346268,163
LOC105328219,109
LOC109618763,27
LOC105328222,116
LOC105328223,33
LOC105328224,30419
LOC105328225,501
LOC105328226,13814
LOC105328227,407
LOC105328228,69
LOC105328231,6953
LOC105328230,7411
LOC117691363,0
LOC117691364,11
LOC105328254,12
LOC105328232,13
LOC117691365,0
LOC117691366,0
LOC117691367,0
LOC105328236,1
LOC105328237,16
LOC105328239,1
LOC117691368,0
LOC117680398,0
LOC105328241,0
LOC105328242,1
LOC105328243,2
LOC117680603,0
LOC117691947,0
LOC117691948,0
LOC117691369,0
LOC109618764,0
LOC109618760,0
LOC109618761,0
LOC105328245,0
LOC117691370,2
LOC105328246,1
LOC105328248,1
LOC117691371,0
LOC105328256,0
LOC117691372,0
LOC105338246,0
LOC105338218,248
LOC105338217,128
LOC105338219,17
LOC105338220,6792
LOC105338221,6848
LOC105338222,33086
LOC105338224,0
LOC105338227,8
LOC105338226,0
LOC117691361,0
LOC105338225,0
LOC105338228,8
LOC105338229,7
LOC109620576,1
LOC105343184,8
Trnal-uaa_3,0
LOC105343185,14904
LOC105343186,5109
LOC117691949,1
LOC105343187,2571
LOC117691244,1
LOC105343188,9
LOC105343189,16
LOC105343190,20
LOC105343191,64
LOC105343192,13
LOC105343193,28
LOC105343194,54
LOC105343195,6
LOC105343196,2151
LOC105343197,6189
LOC105343198,213
LOC105343199,1
LOC105343200,414
LOC117691245,17
LOC117691246,42168
LOC105343201,15910
LOC105343202,4800
LOC105343203,7223
LOC117691743,18342
LOC105336909,16196
LOC117691950,0
LOC105336908,0
LOC105336906,23
LOC117691951,1
LOC105336904,5
LOC105340876,0
LOC105336903,324
LOC117691744,0
LOC109619820,0
LOC105319942,2
LOC117691745,0
LOC117691748,1
LOC117691746,15
LOC105318333,0
LOC117691747,0
LOC109617590,13
LOC105319943,0
LOC117691952,0
LOC117691953,0
LOC117691749,0
LOC105344355,5
LOC117691750,0
LOC117691753,5
LOC117691752,19
LOC117691751,30
LOC105345331,77501
LOC105345355,2152
LOC105345330,90492
LOC105345329,6872
LOC105337976,1
LOC105337543,673
LOC105337541,170999
LOC105337539,565
LOC105337538,2198
LOC105337537,2581
LOC105337535,3394
LOC105337533,6641
LOC117691754,6
LOC105336142,9
LOC105336108,15060
LOC105336106,3261
LOC105336141,18
LOC117691954,1
LOC105336105,171
LOC105336104,118
LOC105336102,390
LOC105336139,1
LOC105336100,0
LOC117691755,4
LOC105324341,10
LOC117691756,20
LOC117691757,18
LOC117691758,1
LOC105336099,0
LOC105336098,0
LOC117691759,1
LOC105336097,10
LOC105336096,0
LOC105336095,225
LOC105336094,536
LOC105320695,3811
LOC117691760,0
LOC105320694,15
LOC105320693,3110
LOC105326233,91
LOC105347563,16
LOC117691761,158
LOC105326587,629
LOC105326565,1645
LOC105326552,0
LOC117680574,1
LOC105326543,80
LOC105322937,1
LOC117692190,0
LOC117692189,48
LOC117692191,14
LOC117680658,5
LOC117691955,0
LOC117692192,1
LOC105319041,0
LOC105342374,11
LOC117692193,2
LOC105342373,0
LOC105334108,1
LOC105334107,8
LOC105334106,38
LOC105334103,13
LOC105334105,10
LOC109619500,32
LOC105343809,2
LOC105324401,1
LOC105343686,6
LOC105343695,99
LOC105343689,706
LOC105343690,4327
LOC105343692,203
LOC105343693,15944
LOC105328091,3112
LOC105321363,1
LOC105317114,5578
LOC117692194,0
LOC105330288,3215
LOC109618144,0
LOC117690844,2672
LOC105328367,10421
LOC117690845,138
LOC105317102,953
LOC117690846,26
LOC105318567,2
LOC105341636,44
LOC117690847,2
LOC105318566,55
LOC105345513,208
LOC105342603,289231
LOC117690848,1193
LOC117691956,38
LOC105326836,1383
LOC105326821,38
LOC105326822,6
LOC117690849,16
LOC105326823,41
LOC105326838,456
LOC105326839,1485
LOC105326826,1920
LOC105326827,374
LOC105326829,1071
LOC105326828,109
LOC117690850,0
LOC105326831,247
LOC117690851,2
LOC117690852,0
LOC105326833,2
LOC105326834,7
LOC105346256,32
LOC117690853,1
LOC105326835,989
LOC117690854,3
LOC105324241,18
LOC117690855,8
LOC117690856,60
LOC105322877,2250
LOC105322868,10
LOC117690857,256
LOC117690858,35
LOC105322851,5140
LOC105322828,1724
LOC117691957,412
LOC105322785,16862
LOC105322771,52
LOC105347080,3524
LOC105347081,1249
LOC105347082,169
LOC105346555,1
LOC117690859,54
LOC117690860,26
LOC117690861,11010
LOC105347083,85161
LOC105347084,76232
LOC105347086,22285
LOC105347087,423
LOC105347088,19
LOC105347089,21
LOC105347090,2171
LOC105347091,5819
LOC105347092,14
LOC117690862,1
LOC105347095,0
LOC105347094,2
LOC117690863,93
LOC105320072,5
LOC117690864,35
LOC105320073,10884
LOC117690866,37
LOC105320074,1815
LOC105320075,26304
LOC105320076,16512
LOC109617606,1028
LOC105320085,26209
LOC105320086,9
LOC105320077,1003
LOC105320078,14
LOC105320079,250
LOC117690867,3
LOC117690868,0
LOC105320080,0
LOC105319705,32
LOC105319706,4215
LOC105319709,19
LOC105319711,26197
LOC105319712,2110
LOC117690870,28
LOC105349000,443
LOC105330302,1
LOC105324837,147
LOC105324838,879
LOC117690871,1
LOC105347280,2
LOC105347287,8
LOC117690958,125
LOC117690647,154
LOC105346172,274
LOC117691102,0
LOC105334530,12799
LOC105334532,2011
Ankyrin-3,683
LOC105334528,5
LOC105334527,56533
LOC105334526,1
LOC105334524,2
LOC105340716,12
LOC105330506,1979
LOC105340717,13
LOC105335071,53
LOC109619621,0
LOC105335072,0
LOC117692310,121
LOC105339157,2
LOC105326180,88
LOC117692311,36
LOC105326181,17
LOC117692309,2
LOC105339221,6
LOC117692304,5
LOC117692306,0
LOC105326182,0
LOC117680437,0
LOC105324383,0
LOC105322525,1
LOC105331749,1
LOC105339490,2
LOC105339155,367
LOC117692308,8
LOC105323618,0
LOC117692303,0
LOC117692307,1
LOC117692305,0
LOC117692313,0
LOC117692312,13
LOC105342210,1
LOC105333517,1
LOC105333465,1
LOC117692315,3
LOC105333453,26
LOC117680324,3
LOC117692314,13
LOC117691958,0
LOC105340986,3
LOC117692061,1
LOC117692059,0
LOC105329733,0
LOC117692060,2
LOC105329732,25
LOC117692058,1
LOC105329731,3
LOC105329729,13
LOC117692063,0
LOC117692062,1
LOC117692064,1
LOC117692065,2
LOC105329780,271
LOC105327936,402
LOC105327938,254
LOC117692066,8
LOC105327941,3
LOC105327940,11
LOC105327942,2081
LOC117692334,6
LOC105327943,4996
LOC105327945,20
LOC105327946,26740
LOC117691959,39
LOC105346886,231
LOC117692067,55
LOC105346885,1297
LOC105321866,28
LOC105333987,74
LOC117692068,11
LOC105333986,10657
LOC105333985,22
LOC105333984,2037
LOC117692069,1
LOC105345046,3407
LOC105345446,24
LOC117692073,71
LOC105344982,9813
LOC105345027,1194
LOC109620808,92
LOC117692070,15
LOC105322774,0
LOC117692071,0
LOC117692072,442
LOC117692074,3
LOC117692075,72
Trnad-guc_7,0
LOC105344960,3513
LOC105344956,34
LOC105344948,12
LOC117690926,38
LOC117690753,0
LOC105328186,0
LOC117691960,3
LOC117690754,324
LOC117691961,20
LOC105345413,3
LOC117691243,1
LOC105344930,11
LOC117691270,6
LOC109620799,48
LOC105345403,0
LOC117690688,3
LOC109618586,1
LOC105344920,15
LOC105344901,4
LOC105320665,2
LOC105320640,3
LOC105320639,5
LOC117692178,162
LOC105339955,4081
LOC105339956,114
LOC105339957,3
LOC105339989,7
LOC117691849,33
LOC105339958,1700
LOC105319322,4
LOC117690648,86
LOC105323881,4
LOC109618301,0
LOC109620391,1
LOC117690651,0
LOC117690650,0
LOC117690649,65
LOC117691373,5
LOC117691962,0
LOC105346811,37
LOC105346821,2
LOC109618451,4
LOC117690903,23
LOC117691963,295
LOC117692295,10
LOC117691964,63
LOC105333721,172
LOC105328684,209
LOC105328591,79
LOC105333722,17859
LOC105333723,12
LOC105333725,8
LOC105333726,12
LOC105333727,1
LOC105333728,5
LOC105333729,2256
LOC117691833,0
LOC105335608,226
LOC117691834,0
LOC117691835,0
LOC117691836,0
LOC105333730,15
LOC117691524,3
LOC109619421,94
LOC109617214,0
LOC105349018,6
LOC105349017,3
LOC105319912,4
LOC117691525,3
LOC105334041,29
LOC117691526,0
LOC117691538,0
LOC117691540,2
LOC117691530,123
LOC117691536,0
LOC105330511,14
LOC117691533,0
LOC109617213,18
LOC105324061,5
LOC117691539,1
LOC117691529,7
LOC117691534,1
LOC117691541,39
LOC117691535,3
LOC105326100,500
LOC117691537,15
LOC105323131,78
LOC109618472,4458
LOC105327276,39
LOC117691532,1
LOC109620061,29
LOC105345540,0
LOC105322595,27
LOC117691542,0
LOC117691528,18
LOC117691527,48
LOC109618005,71
LOC117691531,44
LOC117691965,2
LOC117680597,32
LOC117691543,0
LOC117680578,62
LOC117692324,463
LOC117691544,0
LOC117691545,0
LOC105324183,0
LOC105330512,43
LOC117691548,3
LOC117691546,26
LOC117691547,2
LOC117691549,0
LOC117691550,13
LOC117691552,1145
LOC117691553,38
LOC117691554,12
LOC105339537,3
LOC105330958,3
LOC117691555,32
LOC109617221,42
LOC109618905,75
LOC109621181,5
LOC105326634,10
LOC109617195,3
LOC109617194,4
LOC105328376,76
LOC105321882,833
LOC117691557,4
LOC117691562,3
LOC117691560,9
LOC117691558,6
LOC105333903,1
LOC117691564,1
LOC105330950,34
LOC117691556,362
LOC105339386,23
LOC105339397,1648
LOC117691561,1
LOC105339407,50
LOC105326820,20
LOC105328374,25
LOC105328393,36
LOC117691563,3
LOC105329323,651
LOC117691559,129
LOC105328373,431
LOC105328372,1
LOC105323045,17
LOC105323047,4307
LOC105323046,15
LOC105323111,3617
LOC105323048,2
LOC105323112,166
LOC105323113,21
LOC105323049,31
LOC105323050,13724
LOC105323052,3393
LOC105323053,1761
LOC105323115,5009
LOC105323054,22
LOC105323055,1
LOC105323056,451
LOC117691565,0
LOC105323116,0
LOC117691568,0
LOC117691566,0
LOC117691567,20
LOC117691966,0
LOC105323119,2
LOC105342909,5
LOC105323851,4
LOC109619718,8
LOC117691273,79
LOC105343660,464
LOC105339745,104
LOC117691274,774
LOC105343667,149
LOC117691275,61
LOC105330107,22
LOC117691967,35
LOC105321869,7
LOC105321870,39
LOC117691276,5
LOC105321872,9
LOC105336573,1
LOC105342964,10
LOC105344482,28
LOC117691277,78
LOC105344481,6
LOC105344479,45
LOC117691278,0
LOC117691279,0
LOC117691280,4
LOC117691281,0
LOC105346326,1
LOC117691282,23
LOC105337251,1
LOC117691283,0
LOC105342612,5
LOC105333663,1
LOC117691968,0
