"",Matrix::rowSums(assay(CPbla_cds))
LOC105329401,373
LOC105343500,4841
LOC105343414,315
LOC117693056,21
LOC109618889,45
LOC105343375,2
LOC117693058,9
LOC109618890,27
LOC105329404,9295
LOC117693059,9
LOC105329406,25103
LOC105329407,1590
LOC105323904,3224
LOC105329408,6202
LOC117693060,499
LOC105329409,3853
LOC105324894,2152
LOC117693061,3
LOC117680637,483
LOC105324895,2
LOC105339258,184
LOC105324893,10
LOC105339257,387
LOC117693062,6
LOC105324896,3737
LOC117680383,0
LOC105324897,12949
LOC105340058,2238
LOC105340059,6974
LOC105340061,29539
LOC105340060,1530
LOC105340062,489
LOC105327139,6713
LOC117692442,204
LOC117693064,29
LOC105327128,278
LOC105327127,49
LOC117680421,18
LOC105327125,4
LOC105327123,65
LOC105327122,74
LOC105327121,66
LOC105327120,55
LOC105327119,619
LOC105327117,1229
LOC105327116,304
LOC105327113,587
LOC105327112,352
LOC105327137,21
LOC105342190,20
LOC105327110,0
LOC105342192,4
LOC105327104,0
LOC105327107,5
LOC109617594,27
LOC105327109,1112
LOC105318062,23
LOC105318064,26
LOC105318060,15
LOC105318059,35
LOC105318057,873
LOC105318054,937
LOC105318053,478
LOC105318051,616
LOC105318050,5746
LOC105318049,12737
LOC105318068,1858
LOC105318067,7
LOC105318047,726
LOC105318065,2539
LOC117693068,12
LOC105318045,21
LOC105318044,63
LOC105318043,0
LOC105318042,0
LOC105318041,920
LOC105318040,103876
LOC117693070,17
LOC105318039,21639
LOC105318036,94
LOC105318037,1776
LOC109617348,51
LOC105347096,0
LOC117693071,0
LOC105340259,0
LOC105336489,5
LOC105331378,0
LOC109617984,0
LOC105322945,0
LOC105322946,500
LOC105322947,393
LOC105322950,8731
LOC105322948,909
LOC105322962,8
LOC117693072,2
LOC117693073,0
LOC117693074,3
LOC117693075,3
LOC105335987,0
LOC105335954,32444
LOC105335946,13750
LOC105335935,332
LOC105335926,332
LOC105336162,828
LOC105330451,9519
LOC105330452,5967
LOC105335915,38842
LOC105335898,329
LOC105335891,523
LOC105330455,1908
LOC109617167,1
LOC117693079,0
LOC117692718,46
LOC105330458,2
LOC105330459,2
LOC117692444,6
LOC117693125,0
LOC117692445,0
LOC117692446,0
LOC117693126,0
LOC105321772,1
LOC109617169,0
LOC105338383,24
LOC105348758,90
LOC105338388,2005
LOC105338382,3486
LOC105338380,16279
LOC117692527,0
LOC105338379,16
LOC105338375,1
LOC105338374,6
LOC105338386,73
LOC105321656,14
LOC105321597,61
LOC105321595,3295
LOC105321655,6
LOC105321593,26
LOC105321592,260
LOC105321654,0
LOC105321591,1750
LOC105321590,1311
LOC105335875,10761
LOC105327380,7023
LOC105321588,1
LOC117692529,0
LOC105321586,5
LOC117692530,284
LOC105321652,2148
LOC105321584,21565
LOC105321582,236
LOC105321580,67
LOC105321579,1176
LOC105331906,1216
LOC105331903,111
LOC105331904,16
LOC105323644,1352
LOC117692531,3
LOC117692532,1
LOC105344310,3369
LOC105344311,1
LOC105344312,613
LOC105344313,23
LOC105344314,4
LOC105344315,1
LOC105344317,21
LOC105324907,5091
LOC105344318,1877
LOC105324908,7
LOC105324909,8157
LOC105324910,738
LOC105324912,3495
LOC105324956,3740
LOC105324913,61
LOC105324914,1613
LOC105324916,404
LOC117692533,192
LOC117692534,0
LOC117692535,4
LOC117692536,0
LOC117692537,0
LOC117692538,25
LOC105322456,0
LOC105322455,98
LOC105322474,664
LOC105322454,45
LOC105323675,0
LOC109618097,2
LOC117692539,0
LOC105323678,38
LOC105323706,1
LOC105323679,2
LOC105322487,3
LOC105322488,1964
LOC105331011,35639
LOC105331050,6902
LOC117692540,39
Arpc3,5321
LOC105331015,1523
LOC105331013,2425
LOC105331016,1292
LOC105331018,3
LOC105331017,49
LOC105340024,639
LOC105340027,50
LOC105318423,0
LOC105318421,826
LOC105318420,1488
LOC105318419,3591
LOC105318418,23
LOC105318417,4691
LOC105318424,3344
LOC105318416,4
LOC105317136,0
LOC105317137,1
LOC105317138,0
LOC105317143,0
LOC109617411,7
LOC117692447,0
LOC117692448,0
LOC117692543,0
LOC117692542,0
LOC117692544,0
LOC117692449,0
LOC105329510,0
LOC117692450,0
LOC105329901,2
LOC105329903,25
LOC105329902,52
LOC105329904,2607
LOC105330416,9500
LOC105330417,44
LOC105330418,18
LOC105330419,58823
LOC109618685,270
LOC105330420,610
LOC105330421,2671
LOC105330422,213
LOC105330424,31
LOC105317610,12
LOC105328142,2227
Trnah-gug_7,0
Trnah-gug_8,0
Trnaq-uug_5,0
LOC105341073,1
LOC105341072,5604
LOC105341135,1003
LOC105341070,122526
LOC105341071,1702
LOC105341068,785
LOC105341134,72
LOC105341067,365
LOC117692480,0
LOC117692481,0
LOC105331831,18
LOC105331830,34120
LOC105331829,1046
LOC105331828,113
LOC105331827,322
LOC105331826,27
LOC105331825,17121
LOC105331824,469
LOC105331822,5084
LOC105331821,15770
LOC105331820,9833
LOC105331819,9496
LOC105331817,13414
LOC117692483,1010
LOC105331816,1193
LOC105320158,0
LOC109617621,0
LOC117692484,14
LOC105345791,2406
LOC105345792,393
LOC105345793,201
LOC105345794,40943
LOC105345796,10
LOC105345797,13
LOC105345799,36
LOC117680395,25
LOC105345798,752
LOC105345800,1293
LOC105345801,195
LOC117692486,0
LOC117692487,0
LOC105345805,24
LOC105345821,123
LOC105345847,9
LOC105345822,706
LOC105337461,85
LOC117692488,4
LOC117692489,8
LOC117692452,21
LOC105337459,402
LOC105337458,103
LOC105337456,1349
LOC105337455,205
LOC117692453,13
LOC117692490,0
LOC109619895,10
LOC105337453,147
LOC105337465,129
LOC105337451,3
LOC105337448,2327
LOC117692492,11
LOC105337446,0
LOC117692493,12
LOC105325662,3
LOC105325554,0
LOC105325556,1
LOC105325557,600
LOC117692494,45
LOC105342133,1
LOC105342132,6942
LOC109620434,6
LOC117692495,2
LOC105342170,18445
LOC105329971,815
LOC117692497,310
LOC117692496,790
LOC105329973,2795
LOC117692498,0
LOC105329308,1
LOC109618962,17
LOC105329974,4809
LOC105329975,1
LOC105329976,8032
LOC105344775,2017
LOC105344785,15971
LOC105348383,3
LOC105348382,1
LOC105342215,0
LOC117692454,4
LOC105348837,20
LOC105332046,870
LOC105332044,901
LOC105332045,3281
LOC117692499,12
LOC105332042,789
LOC105332043,8
LOC105332040,1
LOC105332038,1
LOC105332037,3
LOC105332036,102
LOC105338474,0
LOC105332035,4
LOC105332034,7
LOC105332033,236
LOC105347632,0
LOC105332032,57
LOC105332031,237
LOC105332064,443
LOC105332030,9576
LOC105332029,308
LOC105332027,2543
LOC105332026,10930
LOC105332025,35
LOC105332024,15323
LOC117692501,0
LOC117692500,13233
LOC105332020,2238
LOC105332021,3280
LOC105332023,48
LOC105332018,30
LOC105332019,6
LOC105332063,14
LOC105332016,3091
LOC109618866,0
LOC105332015,4006
LOC105332014,37
LOC105335484,6
LOC105332013,22
LOC105341262,17
LOC105341255,6133
LOC105341248,10422
LOC105341236,7239
LOC105341227,3757
LOC105341222,14431
LOC105341210,17
LOC105341207,0
LOC105344674,1
LOC105341193,2
LOC105341185,10
LOC105324309,231
LOC117692503,115
LOC117692504,18241
LOC105327915,5400
LOC105327948,218
LOC109618716,8768
LOC117692506,10
LOC105319771,114
LOC117692505,3
LOC105347591,2
LOC105347588,5051
LOC105347587,1644
LOC105347585,25
LOC105347584,515
LOC105347583,6537
LOC105345645,4413
LOC105345641,844
LOC109620905,17
LOC105345643,12616
LOC105328114,2269
LOC105328113,34
LOC117692507,0
LOC105328112,10
LOC105328111,5
LOC105328110,4
LOC105327680,3
LOC117692900,0
LOC105330187,0
LOC105323025,0
LOC105348547,24
LOC117692901,0
LOC105346656,1103
LOC105349077,1
LOC105346658,170
LOC105346659,61
LOC105346660,21
Trnas-aga_18,1
LOC105346661,19600
LOC105348838,815
LOC105348825,500
LOC105348814,951
LOC105348759,378
LOC105348770,146
Trnal-aag_2,0
LOC105340314,11
LOC105340308,584
LOC105340295,8
LOC105339929,14
LOC105340282,130
LOC117692902,34
LOC117692903,1
LOC105317971,248
LOC105331224,50
LOC105331223,76
LOC105331222,65
LOC105331221,5057
LOC105337423,103
LOC105326034,26
LOC105326097,632
LOC105326087,2248
LOC117692905,130
LOC105326067,5
LOC117692904,0
LOC105326051,6600
Pepck,301
LOC105330572,103
LOC105330571,1426
LOC105326140,5812
LOC105326202,3
LOC105326215,1806
LOC105326216,33816
LOC117692907,8
LOC105326232,1081
LOC105326422,187
LOC117692908,4
LOC117692455,1
LOC117692456,4
LOC117692909,8
LOC105335628,2
LOC105335613,31
LOC105335614,9
LOC105338524,1
LOC105335615,1
LOC105335616,9
LOC105335618,10884
LOC105335619,77
LOC105335620,6
LOC105335621,1167
LOC105335622,7
LOC105335624,12
LOC105335625,0
LOC105335630,0
LOC117692983,0
LOC109620167,1
LOC105339888,6
LOC109617316,5
LOC109617315,0
LOC105317774,0
LOC105317775,0
LOC105317776,0
LOC105317778,0
LOC105317779,7
LOC105317780,1148
LOC117692984,145
LOC117692985,0
LOC105317781,2
LOC105317832,0
LOC105324232,0
LOC105326556,0
LOC105331998,3
LOC105331999,3
LOC105325984,1
LOC117692457,0
LOC105325991,4
LOC105318816,0
LOC117692458,24
LOC117692657,0
LOC105348377,0
LOC109617123,0
LOC105333518,1
LOC105342236,0
LOC105342243,1
LOC109620448,1
LOC117692658,0
LOC105342238,7
LOC105342241,23
LOC105342240,732
LOC105342245,5096
LOC105321569,2156
LOC117692659,22
LOC105321494,3991
LOC105321496,26
LOC117692660,0
LOC117692459,0
LOC105321497,437
LOC105321498,142
LOC117692661,1
LOC105321499,40
LOC105321501,3979
LOC105321502,1
LOC105321504,20
LOC105321503,55
LOC105321505,3191
LOC105321506,711
LOC105321507,225
LOC105321508,55
LOC105325559,510
LOC105321509,6693
LOC105321511,3141
LOC105321512,6545
LOC105321514,19
LOC105321513,329
LOC105321516,1623
LOC105321515,1209
LOC105321517,186
LOC105321518,6203
LOC105321520,3255
LOC105321521,21584
LOC105321522,1126
LOC105321523,272
LOC117692664,4
LOC105330540,3
LOC117692669,0
LOC117692665,0
LOC105342621,0
LOC117692666,0
LOC117692670,2
LOC105320986,0
LOC117692668,0
LOC117692662,0
LOC117692460,0
LOC117692663,16
LOC117692667,1
LOC117692671,0
LOC105321545,22
LOC105320913,6
LOC117692675,0
LOC117692674,4
LOC117692673,0
LOC117692672,0
LOC117692676,4
LOC105328693,1
LOC117692677,1
LOC117680581,1
LOC117692926,0
LOC105325743,128
LOC117692928,0
LOC117692927,14335
LOC105325795,1290
LOC105321143,1
LOC105321144,1
LOC105321145,0
LOC117692929,325
LOC105321147,686
LOC117692930,27
LOC105321148,19
LOC105321162,0
LOC105321150,4735
LOC105338519,1492
LOC105338521,5248
LOC105348015,3823
LOC105336552,7819
LOC105336553,806
LOC105336509,92
LOC105336510,39
LOC117692932,66
LOC105336511,7
LOC105336554,37
LOC105336512,102
LOC117692933,28
LOC105328294,572
LOC105328295,1806
LOC105328296,7
LOC105328297,47
LOC105328298,6
LOC105328299,71
LOC109620101,14
LOC105339070,214
LOC105339069,44
LOC105339074,4582
LOC105339049,9299
LOC117692934,20
LOC105338974,4534
LOC105338760,6019
LOC105338679,18
LOC105338623,3220
LOC105338484,25789
LOC105338405,2724
LOC105338331,532
LOC105323732,691
LOC105323736,975
LOC105323738,9743
LOC117692935,31
LOC105323739,85
LOC105323740,32
LOC105323741,11
LOC105323742,0
LOC117692941,0
LOC117692940,0
LOC117692938,0
LOC117692937,0
LOC117692943,0
LOC117692942,0
LOC117692936,0
LOC117680553,0
LOC117692939,1
LOC105334441,0
LOC105323744,0
LOC109619545,0
LOC109619547,0
LOC105334440,2
LOC105334439,390
LOC105334438,26
LOC105334437,0
LOC105346904,0
LOC117692944,0
LOC109621052,424
LOC105346863,144
LOC105346852,16
LOC117692945,0
LOC109621215,2
LOC105333872,103
LOC105333870,6
LOC117692946,58
LOC117692947,0
LOC105333882,0
LOC105333869,11
LOC105333868,16
LOC105333867,1565
LOC105333866,473
LOC105333865,33389
LOC105333864,567
LOC105333860,280
LOC105333859,380
LOC105333858,3
LOC105346374,0
LOC117693179,0
LOC117693181,4
LOC109621014,0
LOC105346987,0
LOC117693182,0
LOC105346388,0
LOC105337956,0
LOC109619972,0
LOC105337914,0
LOC117693183,1
LOC105337917,0
LOC105326481,0
LOC105337922,1
LOC117693184,0
LOC105337920,1
LOC117692462,0
LOC117693185,1
LOC117693186,0
LOC105325685,0
LOC105324269,0
LOC105335212,0
LOC105341442,0
LOC105341439,1
LOC105341438,0
LOC105341437,394
LOC105341436,883
LOC105341434,145
LOC109620394,0
LOC105341433,741
LOC117680674,0
LOC105341432,10133
LOC105341431,579
LOC105341430,22
LOC117680675,1
LOC117680676,0
LOC105341429,431
LOC105330338,1200
LOC105341427,3323
Trnaf-gaa_12,0
LOC105341423,89
Trnaf-gaa_13,0
LOC117680300,7
Trnaf-gaa_14,6
LOC105341424,330
LOC105341422,34
LOC117680681,0
LOC117680679,0
LOC117680678,2
LOC105341441,4
LOC105336282,0
LOC117680682,0
LOC117680683,0
LOC117692463,0
LOC117692464,0
LOC117680684,1
LOC117680685,0
LOC105326965,0
LOC117692465,1
LOC109618395,0
LOC117680524,0
LOC117692717,665
LOC117692987,0
LOC117692988,0
LOC117692993,0
LOC117692466,5
LOC117692991,7
LOC117692994,0
LOC117692990,0
LOC117692989,0
LOC117692992,0
LOC117692995,0
LOC105335211,0
LOC105334444,0
LOC105323934,1
LOC109619317,0
LOC105334445,0
LOC109619658,1
LOC105334433,0
LOC117692996,0
LOC105334430,0
LOC117692997,0
LOC105334432,1
LOC105334431,0
LOC117692998,0
LOC105334428,908
LOC105334427,14
LOC105334425,11
LOC105334424,371
LOC105334423,1
LOC105334422,18
LOC105334421,39597
LOC105334420,3104
LOC105334418,3376
LOC105334417,287
LOC105334415,36
LOC105326865,0
LOC105323806,0
LOC109618180,11
LOC105326872,11
LOC105339657,4
LOC105321049,42
LOC105321048,213
Trnar-ucg_5,0
LOC105348183,193
LOC105348190,46
LOC105335133,99
LOC105340450,1134
LOC105346731,28030
LOC105335124,618
LOC105335125,3645
LOC105335135,416
LOC105335137,53
LOC117692999,93
LOC117692467,5
LOC105320270,25
LOC117693000,0
LOC117692468,0
LOC105326379,4
LOC117692469,0
LOC117693001,0
LOC117693002,81
LOC117693003,0
LOC105344032,203
LOC105344031,1
LOC117693004,0
LOC105344029,0
LOC117680791,7
LOC117680792,1
LOC117680793,324
LOC105325104,24
LOC117692508,2
LOC117692470,0
LOC117692911,4
LOC117692974,0
LOC117692471,1
LOC117692472,0
LOC117693043,0
LOC117693080,1
LOC117692739,1510
LOC117692779,0
LOC105325739,13
LOC117692473,1
Tlr4,0
LOC105325793,120
LOC105325744,4095
LOC105325794,43
LOC105321142,1367
LOC117693104,12
LOC117693103,0
LOC117693105,20
LOC105321146,99
LOC117681829,0
LOC117681830,0
LOC117681269,1
LOC105339921,127
LOC117681767,0
LOC117681769,105
LOC117681831,0
LOC117681832,0
LOC105324347,100
LOC117681770,0
LOC105345557,12
LOC105345556,1
LOC117681771,2
LOC105318365,6049
LOC105345558,6
LOC105345554,23
LOC105318385,0
LOC117681151,0
LOC117681152,0
LOC117681153,6
LOC105318392,851
LOC105318396,1049
LOC105318500,349
LOC105330153,6274
LOC105318437,396
LOC105318452,2213
LOC105318471,5877
LOC105318511,424
LOC105347472,231
LOC105332513,20
LOC105332510,1
LOC117681157,0
LOC117681154,0
LOC117681155,16
LOC105333281,36
LOC117681156,7296
LOC117681937,1
LOC105332315,4
LOC105336608,0
LOC117681872,628
LOC117681158,1
LOC105336609,2
LOC117681159,8
LOC105336612,1568
LOC105336611,35
LOC105324023,0
LOC117681873,0
LOC117681160,0
LOC105336614,2
LOC105336629,6
LOC105336615,27
LOC105336616,1256
LOC109618241,84
LOC109619787,22
LOC105336617,439
LOC109618903,60
LOC105336618,444
LOC109617710,2
LOC105336620,12
LOC105336621,0
LOC117681161,1
LOC105336623,1232
LOC105336625,2
LOC105336624,51
LOC105336626,24
LOC105336630,4
LOC105336627,26
LOC109619602,1
LOC117681874,4
LOC117681162,4
LOC117681163,0
LOC105320323,0
LOC117681164,0
LOC117681168,0
LOC117681166,0
LOC117681165,0
LOC117681167,0
LOC105320320,1
LOC105320319,1332
LOC117681169,14
LOC105320318,196
LOC105320317,377
LOC105336190,7975
LOC105336191,68
LOC117681170,4
LOC117680483,229
LOC117680435,45
LOC109619464,0
LOC117681171,164
LOC109619742,294
LOC105336194,263
LOC105336193,84
LOC105326093,2
LOC105336195,39
LOC105336196,0
LOC117681172,0
LOC105339201,4
LOC105339206,436
LOC105325314,147
LOC105346858,315
LOC105346857,1
LOC105346855,1
LOC117681173,265
LOC105346854,653
LOC105346853,9
LOC105346851,625
LOC105346877,5099
LOC105346848,694
LOC105346847,4069
LOC105346876,8974
LOC105346844,200
LOC109621058,5
LOC105346843,0
LOC105346842,0
LOC117681174,0
LOC105346841,0
LOC117681899,0
LOC105343613,20
LOC117681900,1
LOC105346839,10
LOC105346875,102
LOC105338373,1011
LOC105345433,2527
LOC105345434,5
LOC105345436,3
LOC105332909,1
LOC109620147,1
LOC117680651,0
LOC117681720,7
LOC105339529,0
LOC117681721,1
LOC117681722,1
LOC117681723,0
LOC117681724,1
LOC117681725,0
LOC105339532,0
LOC105334909,7170
LOC105334910,448
LOC117681626,0
LOC117681627,1
LOC105334911,32
LOC105334974,0
LOC105334918,6
LOC117681629,7
LOC105334915,2
LOC109619607,4
LOC105334913,5
LOC117681631,0
LOC105334919,87
LOC117681628,5
LOC105334921,26440
LOC105334922,262
LOC105334975,301
LOC105334924,569
LOC105334925,3419
LOC105334926,1582
LOC105334928,1237
LOC105334927,5314
LOC105334930,4245
LOC105334934,37943
LOC105334935,659
LOC105334936,41
LOC105334938,11
LOC117681634,1
LOC105334939,1508
LOC105334941,667
LOC105334940,62
LOC117681635,2
LOC105334942,73
LOC105334944,11834
LOC117681636,12
LOC109620923,0
LOC105334943,377
LOC109621136,2
LOC105340050,1
LOC117681637,2
LOC105331330,5
LOC105331329,253
LOC105331327,9465
LOC105331328,12009
LOC105331325,6742
LOC105331323,11152
LOC105331320,867
LOC105331321,1316
LOC105331319,28
LOC105331277,2147
LOC105331276,5002
LOC105331317,145
LOC105331314,14737
LOC105331313,1589
LOC117681638,33
LOC105331312,2313
LOC105331311,150
LOC105331310,2421
LOC117681639,25
LOC105331309,11
LOC105320769,1419
LOC105320771,624
LOC105345408,8224
LOC105345420,50
LOC117681641,10
LOC117681642,4
LOC117681640,0
LOC105345421,0
LOC105320768,0
LOC105345409,0
LOC105345410,1446
LOC109617557,0
LOC105345414,10
LOC105320068,15
LOC117681649,0
LOC105319641,1
LOC117681648,27
LOC117681646,0
LOC117681643,12
LOC117681650,0
LOC117681644,61
LOC105330975,466
LOC105330948,19
LOC117681647,27
LOC117681651,157
LOC105345411,1
LOC105345422,0
LOC105319640,2
LOC105319639,4
LOC105330949,273
LOC117681645,47
LOC105330947,0
LOC105348359,804
LOC105321671,57
LOC117681652,0
LOC105321672,2398
LOC105321673,82814
LOC105321674,50
LOC105321675,189
LOC105321676,332
LOC105321678,1595
LOC105321679,2058
LOC105321680,8113
LOC109617825,1
LOC117681653,2078
LOC117681654,6
LOC105321682,1395
LOC105321685,53
LOC105321684,1357
LOC105321687,10286
LOC105321690,561
LOC105321688,78
LOC117681656,1
LOC117681655,14
LOC117681657,0
LOC105321691,0
LOC105321692,171
LOC105321693,64
LOC117681658,7
LOC105318097,2
LOC117681660,8
LOC105325977,19
LOC117681661,3
LOC117681659,18
LOC105330830,94
LOC105330860,25
LOC105330833,873
LOC105333070,2017
LOC105330835,587
LOC105330838,5107
LOC105330836,607
LOC105330839,37
LOC105330840,872
LOC105330841,1727
LOC105330842,10
LOC105330843,1
LOC105323852,1
LOC117681666,0
LOC105320305,4
LOC117681667,2
LOC117681665,0
LOC109617614,0
LOC105331091,5
LOC109617046,16
LOC105320321,8
LOC117681664,81
LOC117681668,202
LOC117681669,1
LOC105347327,268
LOC105347331,28
LOC105347332,6497
LOC105347391,2220
LOC105347333,1388
LOC105347392,5736
LOC105347334,742
LOC105347335,70919
LOC105336004,10179
LOC105317975,641
LOC117681891,2
LOC105317976,3
LOC105317977,1773
LOC105317978,2698
LOC105317979,316
LOC105317980,21
LOC105317981,231
LOC105319256,30140
LOC105317983,8
LOC105328300,1
LOC105328301,47
LOC105328302,0
LOC117681671,1
LOC117681672,0
LOC117681674,3
LOC117680422,0
LOC105328304,121
LOC105343623,9
LOC117681675,1
LOC105343622,0
LOC105320756,3
LOC109617690,1
LOC105320739,1
LOC117681676,2136
LOC105320742,93915
LOC105320743,4926
LOC105320745,9
LOC105320746,825
LOC105320748,57853
LOC105320749,652
LOC105320750,184
LOC105320752,164
LOC109620657,0
LOC105343729,2
LOC117681678,3
LOC105343727,7
LOC105343730,20
LOC109619119,10
LOC105321052,0
LOC105331269,1
LOC117681679,0
LOC105348322,51
LOC105333181,41
LOC117681677,22
LOC105342774,2
LOC105342765,147
LOC105342773,3946
LOC117681681,1541
LOC117681683,2
LOC117681680,0
LOC117681682,0
LOC117681684,8
LOC117681896,31
LOC117681897,0
LOC105342763,42476
LOC105342762,3669
LOC105342761,1
LOC105342771,908
LOC105342760,5247
LOC105342759,92
LOC105342758,8
LOC105322034,1
LOC105322033,7
LOC105322032,34
LOC105322031,4
LOC117681685,0
LOC105326157,0
LOC105320322,2
LOC117681023,0
LOC105325165,0
LOC105342105,0
LOC117680585,0
LOC117681025,111
LOC109620595,9
LOC105334633,17
LOC105317998,0
LOC105318000,0
LOC105318001,423
LOC117681024,0
LOC105325171,2
LOC117681898,0
LOC117681026,0
LOC109620426,0
LOC117681027,0
LOC117681028,0
LOC117681029,0
LOC117681030,1209
LOC117681031,0
LOC105318002,713
LOC105318003,31
LOC105318006,1994
LOC105318004,216
LOC105318007,24
LOC105318008,3
LOC105318009,35
LOC105318010,94
LOC105318012,37
LOC105348335,2872
LOC105329702,185
LOC117681901,6
LOC117681032,2
LOC105329703,31
LOC105329705,794
LOC105329724,10
LOC105329707,132
LOC105329725,232
LOC105329708,11656
LOC105329709,9
LOC105329710,36
LOC105329712,1492
LOC105329714,0
LOC109617060,43
LOC117681034,0
LOC117681035,7
LOC105329715,4028
LOC105329716,431
LOC105329718,172
LOC117681036,1
LOC105338582,758
LOC105338583,5432
Trnam-cau_29,0
LOC105338584,1072
LOC105338599,238
LOC105338585,365
LOC105338586,14946
LOC105338588,1863
LOC105338589,70
LOC117680505,210
LOC105338590,1
LOC117681902,63
LOC105338591,139
LOC105324829,14
LOC105338592,291
LOC105338594,619
LOC105338600,426
LOC105338597,150
LOC117681037,2
LOC105333335,1903
LOC105333351,2
LOC105348748,17
LOC117681038,0
LOC105348749,3730
LOC105348751,23
LOC105348747,74
LOC105348746,276
LOC105348744,878
LOC105348742,10862
LOC105348741,13
LOC117681039,9
LOC105334151,409
LOC105334150,60
LOC105334149,10132
LOC105334153,1054
LOC105334147,11
LOC105328933,2
LOC117681904,0
LOC105328887,5
LOC109618830,4
LOC105328890,164
LOC105328891,800
LOC105328892,132
LOC117681040,152
LOC117681041,1
LOC117681042,0
LOC117681043,0
LOC117681044,0
LOC105328893,262
LOC105329367,4
LOC117681905,0
LOC105329369,6
LOC105329370,21
LOC105329371,7787
LOC105329372,3708
LOC117681045,38
LOC105329374,81
LOC105329375,12
LOC105329376,0
LOC105323087,147
LOC117681046,4
LOC117681048,32
LOC117681047,396
LOC105323091,55
LOC117681049,17
LOC105323090,497
LOC105323088,9935
LOC105323092,2204
LOC105323093,3281
LOC105323094,677
LOC105323095,45
LOC105323129,10
LOC117681050,1
LOC105323130,1
LOC117681051,59
LOC105329097,385
LOC117681052,27
LOC105329092,97
LOC105329093,4
LOC105329094,6516
Trnar-ccu_11,0
LOC105329090,9866
LOC105329089,2144
LOC105329087,5581
LOC105329086,9983
LOC105329085,166455
LOC105348731,412
LOC105348766,2412
LOC105348733,137979
LOC105348735,451
LOC105348737,3655
LOC105348738,65
LOC105348739,555
LOC117681053,102
LOC105348740,24
LOC117681056,222
LOC117681057,5
LOC105336880,9
LOC117681058,37
LOC105336878,13
LOC109617040,0
LOC117681055,0
LOC105344893,15
LOC117681054,670
LOC105344891,571
LOC105344890,191
LOC105327458,3301
LOC105327459,843
LOC105327460,15
LOC105327462,12
LOC105327464,5
LOC105327465,1243
LOC105327466,3117
LOC105327467,7247
LOC105327468,6
LOC105327469,4537
LOC105327470,1207
LOC105327471,329
LOC105327472,15
LOC105327474,11
LOC105327475,1
LOC117681059,1
LOC117681906,0
LOC117681063,0
LOC105321465,2
LOC117681062,0
LOC105335918,0
LOC117681060,0
LOC105319845,0
LOC117681061,0
LOC105348936,0
LOC105348935,159
LOC105348941,54
LOC105348940,5
LOC105324791,3
LOC105348932,6
LOC105348933,25
LOC105348930,19555
LOC105348928,82
LOC105348929,3163
LOC105319178,6734
LOC105348927,1083
LOC105348924,803
LOC105348925,248
LOC105348923,28
LOC105341364,1998
LOC105339028,1186
LOC105339038,890
LOC105331143,4
LOC105331142,2
LOC105331141,0
LOC117681515,0
LOC105331167,2
LOC105322521,457
LOC105322519,1541
LOC105322517,1031
LOC105322516,263
LOC105322515,0
LOC105322514,1118
LOC105322512,32
LOC105322513,0
LOC105322510,93
LOC105348222,2202
LOC105342677,1
LOC105342678,60
LOC117681516,821
LOC117681517,0
LOC105348224,8284
LOC105348225,1455
LOC105348226,15986
LOC105348227,290
LOC105348229,1
LOC105348228,2
LOC105348230,0
LOC105348232,26
LOC105348234,23
LOC105348235,437
LOC105348236,298
LOC105348237,2113
LOC105348246,14
LOC105348240,7
LOC105348241,36
LOC109621213,0
LOC105348242,4
LOC105347794,37
LOC105347796,12
LOC117681519,9
LOC109619426,526
LOC117681520,674
LOC117681521,82
LOC117681522,39
LOC105347797,635
LOC105347798,867
LOC105347800,3260
LOC105347805,9395
LOC105347801,5326
LOC105347802,2412
LOC105347804,1139
LOC117681179,27
LOC105334199,1
LOC117681546,18
LOC105338899,395
LOC105331305,317
LOC105338900,1410
LOC105338902,87
LOC105338903,81
LOC105338906,61
Caprin-2,1388
LOC105338907,505
LOC105338909,1895
LOC105338910,620
LOC105328274,2286
LOC105328272,606
LOC117681773,304
LOC105328271,230
LOC105324365,1
LOC105324364,409
LOC105319742,2
LOC105319741,13
LOC117681259,0
LOC105348472,20
LOC117680952,13
LOC105319739,2
LOC105319738,220
LOC105319737,4734
LOC105319736,152
LOC105319734,2380
LOC117681260,2
LOC105319733,965
LOC105319729,545
LOC105319731,3314
LOC105327757,330
LOC105327758,13268
LOC109618488,2
LOC105327743,1162
LOC105327756,15939
LOC105327755,11120
LOC105327754,2620
LOC117681261,0
LOC105327752,18444
LOC105327751,6788
LOC105327750,1686
LOC109618700,33
LOC105327748,6612
LOC105327747,532
LOC105327745,1692
LOC105327744,3181
LOC105327762,2195
LOC105320619,15
LOC105320627,630
LOC105320643,1233
LOC105320609,34315
LOC105320741,1
LOC105320599,364
LOC105329636,475
LOC109620127,24
LOC105329634,530
LOC105331872,185
LOC109619202,644
LOC117681264,9
LOC117681263,7
LOC105320306,356
LOC105320304,4390
LOC105320303,59
LOC105320302,61
LOC105320298,326
LOC117681265,17470
LOC105320297,43
LOC105326385,4171
LOC105326368,6881
LOC105326369,7898
LOC105326370,3331
LOC105326371,41
LOC105326372,17776
LOC105345754,1859
LOC105326374,1333
LOC105334949,477
LOC105334948,7195
LOC117681266,0
LOC105334947,8592
LOC105334946,13
LOC105336317,2186
LOC105336318,13
LOC105336319,22
LOC105336320,3
LOC105336323,0
LOC105336321,0
LOC105336324,1
LOC105336326,259
LOC105330295,582
